AZ,  213
SC,   41
LA,   63
MN,   39
NJ,  219
DC,   42
OR,  119
VA,  136
RI,   15
KY,   35
MI,  254
NV,  103
WI,   64
ID,    9
CA, 2012
CT,   73
MT,    7
NC,  150
MD,  164
DE,   23
